year,week,territory,continent,cases,deaths,population
2020,2,Switzerland,Europe,0,0,8516543
2020,2,Taiwan,Asia,0,0,23780452
2020,2,Thailand,Asia,1,0,69428524
2020,2,United_Arab_Emirates,Asia,0,0,9630959
2020,2,United_Kingdom,Europe,0,0,66488991
2020,2,United_States_of_America,America,0,0,327167434
2020,2,Vietnam,Asia,0,0,95540395
2020,3,Afghanistan,Asia,0,0,37172386
2020,3,Algeria,Africa,0,0,42228429
2020,3,Armenia,Europe,0,0,2951776
2020,3,Australia,Oceania,0,0,24992369
2020,3,Austria,Europe,0,0,8847037
2020,3,Azerbaijan,Europe,0,0,9942334
2020,3,Bahrain,Asia,0,0,1569439
2020,3,Belarus,Europe,0,0,9485386
2020,3,Belgium,Europe,0,0,11422068
2020,3,Brazil,America,0,0,209469333
2020,3,Cambodia,Asia,0,0,16249798
2020,3,Canada,America,0,0,37058856
2020,3,China,Asia,327,5,1392730000
2020,3,Croatia,Europe,0,0,4089400
2020,3,Czechia,Europe,0,0,10625695
2020,3,Denmark,Europe,0,0,5797446
2020,3,Dominican_Republic,America,0,0,10627165
2020,3,Ecuador,America,0,0,17084357
2020,3,Egypt,Africa,0,0,98423595
2020,3,Estonia,Europe,0,0,1320884
2020,3,Finland,Europe,0,0,5518050
2020,3,France,Europe,0,0,66987244
2020,3,Georgia,Europe,0,0,3731000
2020,3,Germany,Europe,0,0,82927922
2020,3,Greece,Europe,0,0,10727668
2020,3,Iceland,Europe,0,0,353574
2020,3,India,Asia,0,0,1352617328
2020,3,Indonesia,Asia,0,0,267663435
2020,3,Iran,Asia,0,0,81800269
2020,3,Iraq,Asia,0,0,38433600
2020,3,Ireland,Europe,0,0,4853506
2020,3,Israel,Asia,0,0,8883800
2020,3,Italy,Europe,0,0,60431283
2020,3,Japan,Asia,1,0,126529100
2020,3,Kuwait,Asia,0,0,4137309
2020,3,Lebanon,Asia,0,0,6848925
2020,3,Lithuania,Europe,0,0,2789533
2020,3,Luxembourg,Europe,0,0,607728
2020,3,Malaysia,Asia,0,0,31528585
2020,3,Mexico,America,0,0,126190788
2020,3,Monaco,Europe,0,0,38682
2020,3,Nepal,Asia,0,0,28087871
2020,3,Netherlands,Europe,0,0,17231017
2020,3,New_Zealand,Oceania,0,0,4885500
2020,3,Nigeria,Africa,0,0,195874740
2020,3,North_Macedonia,Europe,0,0,2082958
2020,3,Norway,Europe,0,0,5314336
2020,3,Oman,Asia,0,0,4829483
2020,3,Pakistan,Asia,0,0,212215030
2020,3,Philippines,Asia,0,0,106651922
2020,3,Qatar,Asia,0,0,2781677
2020,3,Romania,Europe,0,0,19473936
2020,3,Russia,Europe,0,0,144478050
2020,3,San_Marino,Europe,0,0,33785
2020,3,Singapore,Asia,0,0,5638676
2020,3,South_Korea,Asia,1,0,51635256
2020,3,Spain,Europe,0,0,46723749
2020,3,Sri_Lanka,Asia,0,0,21670000
2020,3,Sweden,Europe,0,0,10183175
2020,3,Switzerland,Europe,0,0,8516543
2020,3,Taiwan,Asia,1,0,23780452
2020,3,Thailand,Asia,1,0,69428524
2020,3,United_Arab_Emirates,Asia,0,0,9630959
2020,3,United_Kingdom,Europe,0,0,66488991
2020,3,United_States_of_America,America,1,0,327167434
2020,3,Vietnam,Asia,0,0,95540395
2020,4,Afghanistan,Asia,0,0,37172386
2020,4,Algeria,Africa,0,0,42228429
2020,4,Armenia,Europe,0,0,2951776
2020,4,Australia,Oceania,4,0,24992369
2020,4,Austria,Europe,0,0,8847037
2020,4,Azerbaijan,Europe,0,0,9942334
2020,4,Bahrain,Asia,0,0,1569439
2020,4,Belarus,Europe,0,0,9485386
2020,4,Belgium,Europe,0,0,11422068
2020,4,Brazil,America,0,0,209469333
2020,4,Cambodia,Asia,1,0,16249798
2020,4,Canada,America,2,0,37058856
2020,4,China,Asia,4142,100,1392730000
2020,4,Croatia,Europe,0,0,4089400
2020,4,Czechia,Europe,0,0,10625695
2020,4,Denmark,Europe,0,0,5797446
2020,4,Dominican_Republic,America,0,0,10627165
2020,4,Ecuador,America,0,0,17084357
2020,4,Egypt,Africa,0,0,98423595
2020,4,Estonia,Europe,0,0,1320884
2020,4,Finland,Europe,0,0,5518050
2020,4,France,Europe,3,0,66987244
2020,4,Georgia,Europe,0,0,3731000
2020,4,Germany,Europe,1,0,82927922
2020,4,Greece,Europe,0,0,10727668
2020,4,Iceland,Europe,0,0,353574
2020,4,India,Asia,0,0,1352617328
2020,4,Indonesia,Asia,0,0,267663435
2020,4,Iran,Asia,0,0,81800269
2020,4,Iraq,Asia,0,0,38433600
2020,4,Ireland,Europe,0,0,4853506
2020,4,Israel,Asia,0,0,8883800
2020,4,Italy,Europe,0,0,60431283
2020,4,Japan,Asia,3,0,126529100
2020,4,Kuwait,Asia,0,0,4137309
2020,4,Lebanon,Asia,0,0,6848925
2020,4,Lithuania,Europe,0,0,2789533
2020,4,Luxembourg,Europe,0,0,607728
2020,4,Malaysia,Asia,4,0,31528585
2020,4,Mexico,America,0,0,126190788
2020,4,Monaco,Europe,0,0,38682
2020,4,Nepal,Asia,1,0,28087871
2020,4,Netherlands,Europe,0,0,17231017
2020,4,New_Zealand,Oceania,0,0,4885500
2020,4,Nigeria,Africa,0,0,195874740
2020,4,North_Macedonia,Europe,0,0,2082958
2020,4,Norway,Europe,0,0,5314336
2020,4,Oman,Asia,0,0,4829483
2020,4,Pakistan,Asia,0,0,212215030
2020,4,Philippines,Asia,0,0,106651922
2020,4,Qatar,Asia,0,0,2781677
2020,4,Romania,Europe,0,0,19473936
2020,4,Russia,Europe,0,0,144478050
2020,4,San_Marino,Europe,0,0,33785
2020,4,Singapore,Asia,5,0,5638676
2020,4,South_Korea,Asia,3,0,51635256
2020,4,Spain,Europe,0,0,46723749
2020,4,Sri_Lanka,Asia,1,0,21670000
2020,4,Sweden,Europe,0,0,10183175
2020,4,Switzerland,Europe,0,0,8516543
2020,4,Taiwan,Asia,6,0,23780452
2020,4,Thailand,Asia,12,0,69428524
2020,4,United_Arab_Emirates,Asia,1,0,9630959
2020,4,United_Kingdom,Europe,0,0,66488991
2020,4,United_States_of_America,America,4,0,327167434
2020,4,Vietnam,Asia,2,0,95540395
2020,5,Afghanistan,Asia,0,0,37172386
2020,5,Algeria,Africa,0,0,42228429
2020,5,Armenia,Europe,0,0,2951776
2020,5,Australia,Oceania,7,0,24992369
2020,5,Austria,Europe,0,0,8847037
2020,5,Azerbaijan,Europe,0,0,9942334
2020,5,Bahrain,Asia,0,0,1569439
2020,5,Belarus,Europe,0,0,9485386
2020,5,Belgium,Europe,1,0,11422068
2020,5,Brazil,America,0,0,209469333
2020,5,Cambodia,Asia,0,0,16249798
2020,5,Canada,America,2,0,37058856
2020,5,China,Asia,15920,320,1392730000
2020,5,Croatia,Europe,0,0,4089400
2020,5,Czechia,Europe,0,0,10625695
2020,5,Denmark,Europe,0,0,5797446
2020,5,Dominican_Republic,America,0,0,10627165
2020,5,Ecuador,America,0,0,17084357
2020,5,Egypt,Africa,0,0,98423595
2020,5,Estonia,Europe,0,0,1320884
2020,5,Finland,Europe,1,0,5518050
2020,5,France,Europe,3,0,66987244
2020,5,Georgia,Europe,0,0,3731000
2020,5,Germany,Europe,10,0,82927922
2020,5,Greece,Europe,0,0,10727668
2020,5,Iceland,Europe,0,0,353574
2020,5,India,Asia,3,0,1352617328
2020,5,Indonesia,Asia,0,0,267663435
2020,5,Iran,Asia,0,0,81800269
2020,5,Iraq,Asia,0,0,38433600
2020,5,Ireland,Europe,0,0,4853506
2020,5,Israel,Asia,0,0,8883800
2020,5,Italy,Europe,3,0,60431283
2020,5,Japan,Asia,16,0,126529100
2020,5,Kuwait,Asia,0,0,4137309
2020,5,Lebanon,Asia,0,0,6848925
2020,5,Lithuania,Europe,0,0,2789533
2020,5,Luxembourg,Europe,0,0,607728
2020,5,Malaysia,Asia,4,0,31528585
2020,5,Mexico,America,0,0,126190788
2020,5,Monaco,Europe,0,0,38682
2020,5,Nepal,Asia,0,0,28087871
2020,5,Netherlands,Europe,0,0,17231017
2020,5,New_Zealand,Oceania,0,0,4885500
2020,5,Nigeria,Africa,0,0,195874740
2020,5,North_Macedonia,Europe,0,0,2082958
2020,5,Norway,Europe,0,0,5314336
2020,5,Oman,Asia,0,0,4829483
2020,5,Pakistan,Asia,0,0,212215030
2020,5,Philippines,Asia,2,1,106651922
2020,5,Qatar,Asia,0,0,2781677
2020,5,Romania,Europe,0,0,19473936
2020,5,Russia,Europe,2,0,144478050
2020,5,San_Marino,Europe,0,0,33785
2020,5,Singapore,Asia,13,0,5638676
2020,5,South_Korea,Asia,12,0,51635256
2020,5,Spain,Europe,1,0,46723749
2020,5,Sri_Lanka,Asia,0,0,21670000
2020,5,Sweden,Europe,1,0,10183175
2020,5,Switzerland,Europe,0,0,8516543
2020,5,Taiwan,Asia,3,0,23780452
2020,5,Thailand,Asia,5,0,69428524
2020,5,United_Arab_Emirates,Asia,4,0,9630959
2020,5,United_Kingdom,Europe,2,0,66488991
2020,5,United_States_of_America,America,6,0,327167434
2020,5,Vietnam,Asia,7,0,95540395
2020,6,Afghanistan,Asia,0,0,37172386
2020,6,Algeria,Africa,0,0,42228429
2020,6,Armenia,Europe,0,0,2951776
2020,6,Australia,Oceania,3,0,24992369
2020,6,Austria,Europe,0,0,8847037
2020,6,Azerbaijan,Europe,0,0,9942334
2020,6,Bahrain,Asia,0,0,1569439
2020,6,Belarus,Europe,0,0,9485386
2020,6,Belgium,Europe,0,0,11422068
2020,6,Brazil,America,0,0,209469333
2020,6,Cambodia,Asia,0,0,16249798
2020,6,Canada,America,3,0,37058856
2020,6,China,Asia,22248,591,1392730000
